Plot_id,region,PHY,carbon_ton_ha,geog_phys_,zone,X,Y,lon,lat,dem,DISTRICT,STATE_CODE,trees/ha_second,trees/ha_first,BA_sqm_ha_second,BA_sqm_ha_first,bio_mass_ad_second,bio_mass_ad_first,crown_cover_second,crown_cover_first,date_first,date_second,duration
139-38-3,2,3,31.83046672,3,45,369973.9072,3050274.457,85.68281269,27.57010899,1056,KABHREPALANCHOK,3,782.99,1393.268898,11.62750107,13.83224913,74.496837,85.60766919,29,35,2014,2019,1736
139-44-2,2,3,34.65487787,3,45,370553.9982,3074117.445,85.68611521,27.78535567,1099,SINDHUPALCHOK,3,1301.81,1299.986417,16.0474333,10.96747326,81.10716098,55.20721411,78,51,2011,2019,3013
139-44-3,2,3,46.56163634,3,45,370553.9982,3074267.445,85.68609894,27.78670945,1182,SINDHUPALCHOK,3,1791.86,676.6295567,20.3648959,9.456329861,108.9740425,47.56953436,54,64,2011,2019,3044
139-47-1,2,4&5,75.93908515,4,45,370844.0437,3085963.94,85.68777259,27.89229983,2463,SINDHUPALCHOK,3,1311.52,1951.858538,27.24289598,34.33675313,177.7297737,213.1275331,74,81,2014,2019,1867
139-47-2,2,4&5,72.75440679,4,45,370844.0437,3086113.94,85.68775626,27.89365359,2382,SINDHUPALCHOK,3,2659.86,2176.664895,23.71588103,21.28773247,170.2762712,121.5879129,72,73,2014,2019,1861
139-47-4,2,4&5,124.3735732,4,45,371144.0437,3085963.94,85.69081994,27.89232881,2551,SINDHUPALCHOK,3,2147.81,1976.394925,42.84993157,33.15960208,291.0870861,214.865242,78,70,2014,2019,1865
139-47-5,2,4&5,109.0700598,4,45,371144.0437,3086113.94,85.69080365,27.89368257,2522,SINDHUPALCHOK,3,1320.84,316.7625465,30.99577715,11.91947899,255.2703528,73.69473699,74,44,2014,2019,1864
140-38-3,2,3,24.2230027,3,45,373972.7386,3050177.775,85.72332336,27.56961457,920,KABHREPALANCHOK,3,496.97,#N/A,10.57123715,#N/A,56.69213398,#N/A,48.14814815,#N/A,#N/A,2020,#N/A
140-38-5,2,3,12.39076983,3,45,374272.7386,3050027.775,85.72637743,27.56828862,756,KABHREPALANCHOK,3,291.13,#N/A,3.722953838,#N/A,28.99967408,#N/A,33,#N/A,#N/A,2020,#N/A
140-44-4,2,3,27.61007511,3,45,374852.8296,3073870.764,85.72976561,27.78353722,1131,SINDHUPALCHOK,3,660.32,397.8873577,10.51834189,6.733320313,64.61932474,40.69290573,28,40,2011,2019,2984
